LABELS
SEPARATOR TAB
DATA
0_4_0_10_4_26	0.4.0.10.4.26: Node added
0_4_0_10_4_14	0.4.0.10.4.14: Node added
0_4_0_10_4_0_4_0_10_4	0.4.0.10.4.0_4_0_10_4: Node removed
0_4_0_10_5	0.4.0.10.5: Node added
0_4_0_10_8	0.4.0.10.8: Node added
0_4_0_10_10	0.4.0.10.10: Node removed
0_4_0_10_17	0.4.0.10.17: Node added
0_4_0_10_19	0.4.0.10.19: Node removed
0_4_0_10_22	0.4.0.10.22: Node removed
0_4_0_10_25	0.4.0.10.25: Node removed
0_4_0_13_1_2	0.4.0.13.1.2: Node removed
0_4_0_13_1_5	0.4.0.13.1.5: Node removed
0_4_0_13_1_8	0.4.0.13.1.8: Node removed
0_4_0_13_1_0_4_0_13_1	0.4.0.13.1.0_4_0_13_1: Node added
0_4_0_13_1_11	0.4.0.13.1.11: Node removed
0_4_0_13_1_14	0.4.0.13.1.14: Node removed
0_4_0_13_1_17	0.4.0.13.1.17: Node removed
0_4_0_13_1_20	0.4.0.13.1.20: Node removed
0_4_0_13_1_26	0.4.0.13.1.26: Node removed
0_4_0_13_10_2	0.4.0.13.10.2: Node removed
0_4_0_13_10_5	0.4.0.13.10.5: Node removed
0_4_0_13_10_8	0.4.0.13.10.8: Node removed
0_4_0_13_10_11	0.4.0.13.10.11: Node removed
0_4_0_13_10_14	0.4.0.13.10.14: Node removed
0_4_0_13_10_0_4_0_13_10	0.4.0.13.10.0_4_0_13_10: Node added
0_4_0_13_10_17	0.4.0.13.10.17: Node removed
0_4_0_13_10_20	0.4.0.13.10.20: Node removed
0_4_0_13_10_23	0.4.0.13.10.23: Node removed
0_4_0_13_11	0.4.0.13.11: Node added
0_4_0_13_14	0.4.0.13.14: Node added
0_4_0_13_17	0.4.0.13.17: Node added
0_4_0_13_19	0.4.0.13.19: Node removed
0_4_0_13_20	0.4.0.13.20: Node added
0_4_0_13_23	0.4.0.13.23: Node added
0_4_0_13_26	0.4.0.13.26: Node added
0_4_0_16_1_2_0	0.4.0.16.1.2.0: Node added
0_4_0_16_1_2_18	0.4.0.16.1.2.18: Node added
0_4_0_16_1_2_21	0.4.0.16.1.2.21: Node added
0_4_0_16_1_2_24	0.4.0.16.1.2.24: Node added
0_4_0_16_1_2_9	0.4.0.16.1.2.9: Node added
0_4_0_16_1_2_0_4_0_16_1_2	0.4.0.16.1.2.0_4_0_16_1_2: Node removed
0_4_0_16_1_2_12	0.4.0.16.1.2.12: Node added
0_4_0_16_1_5_3	0.4.0.16.1.5.3: Node added
0_4_0_16_1_5_12	0.4.0.16.1.5.12: Node added
0_4_0_16_1_5_15	0.4.0.16.1.5.15: Node removed
0_4_0_16_1_5_24	0.4.0.16.1.5.24: Node removed
